timestep;aFRR_neg_energy_EUR_MWh
344700;-1040.06
345600;-619.91
346500;-592.46
347400;-573.96
348300;-563.7
349200;-571.41
350100;-576.99
351000;-566.62
351900;-569.6
352800;-570
353700;-575.42
354600;-576.18
355500;-577.11
356400;-570.36
357300;-573.48
358200;-568.01
359100;-571.93
360000;-609.61
360900;-612.97
361800;-614.27
362700;-614.37
363600;-592.68
364500;-594.75
365400;-600.16
366300;-609.88
367200;-666.65
368100;-662.4
369000;-687.06
369900;-698.44
370800;-690.9
371700;-688.21
372600;-688.15
373500;-688.28
374400;-1025.78
375300;-1076.69
376200;-1024.52
377100;-1009.01
378000;-992.15
378900;-976.28
379800;-967.05
380700;-960.44
381600;-955.63
382500;-950.48
383400;-949.59
384300;-945.79
385200;-943.05
386100;-942.29
387000;-941.92
387900;-945.47
388800;-982.43
389700;-977.68
390600;-977.53
391500;-976.08
392400;-976.35
393300;-975.36
394200;-974.98
395100;-974.43
396000;-974.49
396900;-974.02
397800;-972.71
398700;-1383.49
399600;-980.81
400500;-1010.35
401400;-2107.12
402300;-1613.19
403200;-785.93
404100;-665.33
405000;-662.99
405900;-663.78
406800;-683.94
407700;-681.86
408600;-675.79
409500;-676.93
410400;-689.43
411300;-690.2
412200;-702.84
413100;-707.38
414000;-589.14
414900;-590.51
415800;-583.66
416700;-573.49
417600;-604.93
418500;-577.75
419400;-575.19
420300;-570.97
421200;-565.6
422100;-566.23
423000;-566.04
423900;-563.27
424800;-560.71
425700;-560.93
426600;-560.87
427500;-557.3
428400;-555.69
429300;-540.94
430200;-554.43
431100;-535.67
432000;-594.58
432900;-622.47
433800;-626.87
434700;-627.18
435600;-625.35
436500;-620.45
437400;-621.49
438300;-619.32
439200;-615.79
440100;-620.17
441000;-622.68
441900;-623
442800;-617.87
443700;-618.95
444600;-621.16
445500;-616.76
446400;-723.18
447300;-731.41
448200;-730.65
449100;-730.88
450000;-726.5
450900;-727.97
451800;-730.39
452700;-731.13
453600;-733.52
454500;-736.57
455400;-739.02
456300;-739.5
457200;-741.88
458100;-744.79
459000;-744.7
459900;-744.72
460800;-716.57
461700;-713.03
462600;-712.13
463500;-713.22
464400;-714.06
465300;-714.82
466200;-715.39
467100;-714.24
468000;-713.34
468900;-715.27
469800;-716.72
470700;-714.97
471600;-710.66
472500;-709.53
473400;-707.51
474300;-1109.14
475200;-654.74
476100;-650.85
477000;-653.6
477900;-652.92
478800;-951.12
479700;-649.69
480600;-649.47
481500;-649.64
482400;-831.55
483300;-650.33
484200;-650.98
485100;-1748.55
486000;-664.95
486900;-664.65
487800;-660.36
488700;-659.57
489600;-614.79
490500;-617.28
491400;-617.47
492300;-800.8
493200;-617.02
494100;-614.86
495000;-621.63
495900;-630.37
496800;-633.02
497700;-633.61
498600;-633.14
499500;-632.16
500400;-619.89
501300;-622.71
502200;-623.07
503100;-618.65
504000;-778.94
504900;-807.12
505800;-820.09
506700;-820.4
507600;-819.61
508500;-820.49
509400;-820.47
510300;-818.71
511200;-818.79
512100;-818.95
513000;-818.86
513900;-816.05
514800;-817.23
515700;-817.19
516600;-817.07
517500;-813.98
518400;-753.82
519300;-768.84
520200;-768.73
521100;-769.09
522000;-768.59
522900;-768.51
523800;-768.3
524700;-768.25
525600;-768.1
526500;-767.87
527400;-767.89
528300;-765.8
529200;-765.76
530100;-765.77
531000;-765.4
531900;-764.72
532800;-930.4
533700;-967.92
534600;-974.3
535500;-979.21
536400;-981.96
537300;-984.13
538200;-985.29
539100;-986.31
540000;-1081
540900;-1088.42
541800;-1087.9
542700;-1088.69
543600;-1090.49
544500;-1091.54
545400;-1118.49
546300;-1153.68
547200;-1286.07
548100;-1098.04
549000;-996.84
549900;-991.14
550800;-989.51
551700;-989.69
552600;-989.55
553500;-988.43
554400;-988.36
555300;-990.34
556200;-1570.92
557100;-1596.02
558000;-1015.32
558900;-987.88
559800;-985.89
560700;-984.05
561600;-797.85
562500;-792.4
563400;-784.88
564300;-1731.17
565200;-869.13
566100;-794.19
567000;-776.62
567900;-773.84
568800;-771.79
569700;-771.58
