timestep;aFRR_neg_cap_EUR_MW_h
408600;2.99
409500;2.99
410400;2.99
411300;2.99
412200;2.99
413100;2.99
414000;2.99
414900;2.99
415800;2.99
416700;2.99
417600;4.15
418500;4.15
419400;4.15
420300;4.15
421200;4.15
422100;4.15
423000;4.15
423900;4.15
424800;4.15
425700;4.15
426600;4.15
427500;4.15
428400;4.15
429300;4.15
430200;4.15
431100;4.15
432000;14.04
432900;14.04
433800;14.04
434700;14.04
435600;14.04
436500;14.04
437400;14.04
438300;14.04
439200;14.04
440100;14.04
441000;14.04
441900;14.04
442800;14.04
443700;14.04
444600;14.04
445500;14.04
446400;12.11
447300;12.11
448200;12.11
449100;12.11
450000;12.11
450900;12.11
451800;12.11
452700;12.11
453600;12.11
454500;12.11
455400;12.11
456300;12.11
457200;12.11
458100;12.11
459000;12.11
459900;12.11
460800;4.91
461700;4.91
462600;4.91
463500;4.91
464400;4.91
465300;4.91
466200;4.91
467100;4.91
468000;4.91
468900;4.91
469800;4.91
470700;4.91
471600;4.91
472500;4.91
473400;4.91
474300;4.91
475200;5.37
476100;5.37
477000;5.37
477900;5.37
478800;5.37
479700;5.37
480600;5.37
481500;5.37
482400;5.37
483300;5.37
484200;5.37
485100;5.37
486000;5.37
486900;5.37
487800;5.37
488700;5.37
489600;2.79
490500;2.79
491400;2.79
492300;2.79
493200;2.79
494100;2.79
495000;2.79
495900;2.79
496800;2.79
497700;2.79
498600;2.79
499500;2.79
500400;2.79
501300;2.79
502200;2.79
503100;2.79
504000;4.02
504900;4.02
505800;4.02
506700;4.02
507600;4.02
508500;4.02
509400;4.02
510300;4.02
511200;4.02
512100;4.02
513000;4.02
513900;4.02
514800;4.02
515700;4.02
516600;4.02
517500;4.02
518400;13.05
519300;13.05
520200;13.05
521100;13.05
522000;13.05
522900;13.05
523800;13.05
524700;13.05
525600;13.05
526500;13.05
527400;13.05
528300;13.05
529200;13.05
530100;13.05
531000;13.05
531900;13.05
532800;11.9
533700;11.9
534600;11.9
535500;11.9
536400;11.9
537300;11.9
538200;11.9
539100;11.9
540000;11.9
540900;11.9
541800;11.9
542700;11.9
543600;11.9
544500;11.9
545400;11.9
546300;11.9
547200;4.78
548100;4.78
549000;4.78
549900;4.78
