timestep;TWW Bedarf dezentral Booster;TWW Bedarf Vorerwärmung DLE (bis 40°C);TWW Bedarf dezentral DLE (40-56°C)
134100;13,04147135;28,95987369;15,44526597
135000;12,94522149;28,48034265;15,18951608
135900;11,51568688;27,07673106;14,44092323
136800;12,51184349;27,73890715;14,79408382
137700;12,41226262;28,02684276;14,94764947
138600;12,19840699;27,68510135;14,76538739
139500;12,96903351;28,05779353;14,96415655
140400;14,81270939;29,74041677;15,86155561
141300;12,81387746;27,46511779;14,64806282
142200;16,0626998;30,99932288;16,5329722
143100;20,13628856;34,23390286;18,25808153
144000;14,88346382;29,0294753;15,48238683
144900;30,95563321;48,4363545;25,8327224
145800;34,95689417;48,89337536;26,07646686
146700;22,37715482;37,82197649;20,17172079
147600;45,45060621;65,37024642;34,86413143
148500;50,08627849;62,72480701;33,45323041
149400;32,38934206;56,89784228;30,34551588
150300;54,87366748;73,87146842;39,39811649
151200;68,80243181;85,49663878;45,59820735
152100;42,83921589;75,46248076;40,2466564
153000;74,68860258;93,72553649;49,98695279
153900;86,69631644;109,5849295;58,44529572
154800;68,61313532;101,4485948;54,10591722
155700;83,13407127;100,9997493;53,86653296
156600;76,36734645;96,81513213;51,63473714
157500;77,90016511;106,5611905;56,83263494
158400;61,60281804;74,67257692;39,82537436
159300;66,7522392;87,11787243;46,46286529
160200;57,55898378;75,19563325;40,10433773
161100;53,9175653;64,77183171;34,54497691
162000;45,21650337;62,28740123;33,21994732
162900;51,91328688;61,50738769;32,8039401
163800;28,87245997;37,67674199;20,0942624
164700;21,42597999;34,39731849;18,34523653
165600;17,1077562;24,29346652;12,95651548
166500;11,41990628;18,07452616;9,639747284
167400;17,89864869;33,00952116;17,60507795
168300;13,75109986;21,22880022;11,32202679
169200;12,99948446;20,71157818;11,04617503
170100;10,94589561;20,41661881;10,88886336
171000;11,80218129;18,09359797;9,649918918
171900;11,21772519;17,21816618;9,183021962
172800;11,99328865;21,534597;11,4851184
173700;10,89179005;17,53574319;9,352396367
174600;9,999486275;15,95255638;8,508030068
175500;9,363512408;14,93686093;7,966325827
176400;9,063958556;14,52500547;7,746669581
177300;9,435880695;15,14570427;8,077708942
178200;9,258509949;14,83216108;7,910485909
179100;9,199570565;14,90274571;7,948131045
180000;9,029033472;14,4885152;7,727208107
180900;9,064909305;14,55145927;7,760778277
181800;9,895776582;15,39410174;8,210187593
182700;9,460985908;15,17193458;8,091698442
183600;11,46184902;17,13424364;9,138263277
184500;13,41565937;19,17451482;10,2264079
185400;15,76662381;21,65034714;11,54685181
186300;17,69429802;24,90866177;13,28461961
187200;30,94364334;37,91997875;20,22398866
188100;27,59238361;35,37262779;18,86540149
189000;26,75648062;36,63824815;19,54039901
189900;47,06416465;62,09331174;33,11643293
190800;47,17258802;60,8601329;32,45873755
191700;31,00574671;47,95519882;25,57610604
192600;54,78869895;71,99266482;38,3960879
193500;51,79554457;68,92358393;36,75924476
194400;47,33513707;77,39100646;41,27520344
195300;57,12307486;72,49916965;38,66622381
196200;87,14959151;109,5204144;58,41088771
197100;65,25185288;93,69534052;49,97084828
198000;96,93572513;115,3414921;61,51546247
198900;87,79797063;110,6707412;59,0243953
199800;96,93872904;120,4845386;64,25842057
200700;55,564208;75,75029989;40,40015994
201600;51,49419817;74,12854424;39,53522359
202500;47,69066078;70,96804184;37,84962232
203400;57,77193301;85,0219562;45,34504331
204300;61,6594686;93,49615228;49,86461455
205200;70,20658945;96,05738871;51,23060731
206100;51,77333967;76,80858006;40,96457603
207000;58,4288058;82,16008479;43,81871189
207900;47,59570029;69,70440133;37,17568071
208800;50,4731869;73,96551883;39,44827671
209700;39,99320943;69,79911539;37,22619487
210600;38,29559646;58,5167055;31,2089096
211500;31,97460822;53,88460821;28,73845771
212400;30,84712862;49,86700654;26,59573682
213300;31,42286122;52,79285632;28,15619004
214200;29,68455746;47,23940577;25,19434974
215100;30,77090875;50,73980509;27,06122938
216000;22,17643056;39,40077489;21,01374661
216900;24,13252439;40,79971036;21,75984553
217800;18,67563268;34,58516534;18,44542152
