timestep;amb_temp;wind_speed;beam_irr;diffuse_irr;long_wave_irr
594000;1.6;0;0;0;301
597600;1.7;0.2;0;0;301
601200;1.8;0.1;0;0;301
604800;1.8;0;0;0;295
608400;1.9;1;0;0;295
612000;1.8;0.9;0;0;302
615600;1.6;0.2;0;0;302
619200;1.6;0.3;0;0;302
622800;1.5;0.1;0;0;304
626400;1.4;0.8;0;0;298
630000;1.3;0.1;0;0;292
633600;1.3;0;0;8;294
637200;1.4;0.5;6;48;301
640800;1.6;0;0;62;302
644400;1.7;0.6;0;88;296
648000;2.1;0.8;0;77;296
651600;2.3;0.9;2;92;289
655200;2.7;1.7;0;62;291
658800;2.8;0.9;0;30;307
662400;2.8;0.9;0;4;313
666000;2.7;0.9;0;0;312
669600;2.2;0.9;0;0;305
673200;1.9;1.1;0;0;298
676800;1.9;0.9;0;0;297
680400;1.8;1;0;0;296
684000;2.1;1.1;0;0;301
687600;2.6;2.6;0;0;302
691200;2.3;2.3;0;0;295
694800;2;1.8;0;0;293
698400;1.7;1.8;0;0;286
702000;1.5;1.8;0;0;281
705600;1;1.3;0;0;275
709200;0.3;2.1;0;0;268
712800;0.3;2.1;0;0;267
716400;0.1;2.2;0;0;271
720000;0.6;1.5;0;9;281
723600;0.8;1.3;50;53;277
727200;2.4;1.9;171;58;252
730800;4.3;1.4;228;66;231
734400;5;2;250;65;223
738000;5.7;1.9;229;61;223
741600;4.8;1.9;169;52;228
745200;4.2;1;87;39;236
748800;2.8;1;11;14;254
752400;1.5;2.3;0;0;269
756000;1.1;1.8;0;0;266
759600;0.8;1.3;0;0;262
763200;0.6;1.3;0;0;257
766800;0.2;0.3;0;0;236
770400;-0.3;0.5;0;0;218
774000;-0.3;1.5;0;0;237
777600;-0.5;0.8;0;0;261
781200;-0.4;0.9;0;0;267
784800;-0.4;0.9;0;0;269
788400;-0.4;0.8;0;0;270
792000;-0.4;0.9;0;0;272
795600;-0.2;1;0;0;274
799200;0.3;1.7;0;0;276
802800;0.2;1.7;0;0;278
806400;0.5;1.3;0;12;280
810000;0.6;2;0;30;282
813600;0.5;1.2;0;41;283
817200;0.8;0.5;0;57;283
820800;1.2;1.6;0;76;279
824400;1.8;1.9;0;77;281
828000;2.2;0.3;6;72;283
831600;2.5;0.4;0;36;285
835200;2.4;0.9;3;9;286
838800;2;1.2;0;0;280
842400;1.8;1.2;0;0;279
846000;1.9;1.9;0;0;279
849600;1.8;1.2;0;0;287
853200;1.8;1.6;0;0;289
856800;1.5;1.3;0;0;283
860400;1.7;1.4;0;0;279
864000;1.7;1.4;0;0;280
867600;1.8;0.7;0;0;286
871200;1.7;1.2;0;0;287
874800;1.8;1.3;0;0;289
878400;1.8;1;0;0;296
882000;1.9;1.1;0;0;297
885600;2;1.7;0;0;292
889200;2.3;0.9;0;0;295
892800;2.4;1.5;0;6;297
896400;2.6;0.9;0;42;302
900000;3.3;0.9;3;89;298
903600;4.1;0.9;4;121;288
907200;4.3;0.8;1;110;295
910800;4.8;0.9;2;108;300
914400;5.1;1;0;76;301
918000;5.5;0.4;0;31;308
921600;5.1;1.2;0;4;314
925200;4.7;1.3;0;0;313
928800;4.4;1.3;0;0;307
932400;4.3;1.6;0;0;301
936000;4.2;1.7;0;0;300
939600;4.2;1.6;0;0;300
943200;4.2;1.7;0;0;300
946800;4.2;2.7;0;0;301
950400;4;2.3;0;0;291
954000;3.2;2.2;0;0;278
957600;3.4;2.2;0;0;288
961200;3.7;2.8;0;0;305
964800;3.7;3.6;0;0;311
968400;3.8;2.8;0;0;311
972000;3.2;3.5;0;0;310
975600;3.2;3.5;0;0;304
979200;3;3.6;0;8;298
982800;2.9;4.8;0;38;302
986400;2.8;4.6;0;38;307
990000;2.9;4.9;0;32;306
993600;2.7;4.1;0;42;304
997200;2.8;3.6;5;89;292
1000800;2.8;4.2;103;21;275
1004400;2.5;4.6;10;40;287
1008000;2.3;4.1;0;5;303
1011600;2;4.5;0;0;297
1015200;1.8;4.5;0;0;297
1018800;1.4;5.2;0;0;301
1022400;0.7;4.5;0;0;293
1026000;0.1;4.5;0;0;274
1029600;-0.1;3.9;0;0;255
1033200;-0.2;3.9;0;0;231
1036800;-0.6;3.8;0;0;214
1040400;-0.8;3.9;0;0;213
1044000;-1.2;4.2;0;0;212
1047600;-1.7;4;0;0;222
1051200;-2;5.9;0;0;242
1054800;-2.2;5.3;0;0;262
1058400;-2.2;5.3;0;0;276
1062000;-2.5;5.8;0;0;276
1065600;-2.4;5.1;0;11;270
1069200;-2.2;5.1;30;36;276
1072800;-2.2;4.9;10;72;278
1076400;-1.9;4.8;0;74;275
1080000;-1.9;4.8;0;89;281
1083600;-1.7;5.5;0;77;287
1087200;-1.5;5.5;0;58;281
1090800;-1.8;5.5;0;38;259
1094400;-1.9;6.2;5;7;251
1098000;-2.1;5.4;0;0;254
1101600;-2.6;4.7;0;0;247
1105200;-3.2;4.8;0;0;247
1108800;-3.4;5.6;0;0;240
1112400;-3.8;5.6;0;0;229
1116000;-4;4.1;0;0;223
1119600;-4.3;4.9;0;0;218
1123200;-4.4;4.3;0;0;208
1126800;-4.6;4.4;0;0;203
1130400;-4.7;5.1;0;0;202
1134000;-4.7;5;0;0;203
1137600;-4.7;5.1;0;0;204
1141200;-4.8;5.3;0;0;213
1144800;-4.9;5.3;0;0;223
1148400;-4.9;5.1;0;0;222
1152000;-5.1;4.5;7;14;223
1155600;-4.6;4.5;73;50;218
1159200;-2.9;4.5;178;57;206
1162800;-1.1;4;256;56;200
1166400;0.2;4.2;290;54;203
1170000;0.6;4.4;260;56;205
1173600;-0.4;4.9;199;51;204
1177200;-0.7;4.2;105;40;206
1180800;-1.4;4.7;18;15;209
1184400;-2.2;4.5;0;0;208
1188000;-2.9;3.9;0;0;206
1191600;-3.5;4.8;0;0;204
1195200;-3.9;4.8;0;0;203
1198800;-4.1;4.1;0;0;202
1202400;-4.3;3.9;0;0;202
1206000;-4.7;3.2;0;0;201
1209600;-5;3.6;0;0;201
1213200;-4.9;2.2;0;0;205
1216800;-5;2.1;0;0;220
1220400;-4.9;1.8;0;0;236
1224000;-4.9;1.6;0;0;240
1227600;-4.7;1.8;0;0;243
1231200;-5;1.2;0;0;244
1234800;-5.1;1.8;0;0;247
