timestep;Wetterdaten.Mittlere Aussentemperatur (Tamb) [°C];Wetterdaten.Normale Direktstrahlung  (Bn) [W/m²];Wetterdaten.Diffusstrahlung, Jahressumme (Dh) [W/m²];Wetterdaten.Globalstrahlung, Jahressumme (Gh) [W/m²];Wetterdaten.Wärmestrahlung (Lh) [W/m²];Wetterdaten.Windgeschwindigkeit (Vwnd) [m/s];Kollektor.Mitteltemperatur [°C];Kollektor.Durchsatz [l/h];Kollektor.Wärmeverlust (Qhl) [W];Kollektor.Einstrahlung in Kollektorebene (Esol) [W];Kollektor.Kollektorfeldertrag (Qsol) [W];Kollektor.Betriebstemperatur [°C];Kollektor.Austrittstemperatur [°C];Rohr 6.Temperatur [°C];Rohr 6.Wärmekapazität des Fluids [J/(l*K)];Rohr 16.Temperatur [°C];Rohr 16.Wärmekapazität des Fluids [J/(l*K)];Kollektor.Diffusstrahlung nach IAM [W];Kollektor.Globalstrahlung nach IAM  [W];Kollektor.Direktstrahlung nach IAM [W];Kollektor.Einstrahlung auf Kollektor [W/m²]
15894000;20,7;0,0;0,0;0,0;339,0;1,1;11,372458333333332;66,6;-148,106925;0,0;148,106925;11,372458333333332;11,935975000000001;10,0;4200,855;11,936174999999999;4201,1258;0,0;0,0;0,0;0,0
15897600;19,2;0,0;0,0;0,0;335,0;0,8;11,222525000000001;66,6;-131,23519166666668;0,0;131,23519166666668;11,222525000000001;11,717716666666664;10,0;4200,855;11,717916666666664;4201,1068000000005;0,0;0,0;0,0;0,0
15901200;18,6;0,0;0,0;0,0;325,0;1,0;11,136258333333332;66,6;-124,91566666666667;0,0;124,91566666666667;11,136258333333332;11,622224999999998;10,0;4200,855;11,622424999999998;4201,084;0,0;0,0;0,0;0,0
15904800;18,3;0,0;0,0;0,0;322,0;0,9;11,10385;66,6;-124,54846666666668;0,0;124,54846666666668;11,10385;11,603666666666665;10,0;4200,855;11,603466666666668;4201,084;0,0;0,0;0,0;0,0
15908400;18,5;0,0;0,0;0,0;325,0;1,6;11,089833333333331;66,6;-119,8357916666667;0,0;119,8357916666667;11,089833333333331;11,557066666666667;10,0;4200,855;11,557066666666667;4201,084;0,0;0,0;0,0;0,0
15912000;17,5;0,0;0,0;0,0;328,0;0,9;11,013866666666669;66,6;-112,52186666666665;0,0;112,52186666666665;11,013866666666669;11,456308333333332;10,0;4200,855;11,456308333333332;4201,084;0,0;0,0;0,0;0,0
15915600;17,8;170,984;49,0;69,0;329,0;1,0;11,5519;66,59999999999998;-75,77980000000001;161,223;237,00305833333334;11,5519;12,865575;10,0;4200,855;12,865525;4201,38835;146,453;146,453;0,0;32,985
15919200;20,0;317,362;114,0;205,0;332,0;0,8;12,576875;66,59999999999998;34,432141666666666;418,2300000000001;383,7983666666667;12,576875;14,699216666666667;10,0;4200,855;14,6992;4201,796716666667;322,96700000000004;324,52200000000005;1,555;73,091
15922800;21,0;357,976;180,0;341,0;343,0;0,2;14,743108333333334;66,59999999999998;353,50488333333334;1079,935;726,43005;14,743108333333334;18,769299999999998;10,0;4200,855;18,769299999999998;4202,764249999999;552,6;780,757;228,158;175,84600000000003
15926400;23,2;511,619;209,0;516,0;355,0;0,9;19,168366666666664;66,59999999999998;539,1500249999999;1944,374;1405,2239749999999;19,168366666666664;26,96221666666667;10,0;4200,855;26,962033333333334;4204,6174;750,906;1713,2869999999998;962,3809999999999;385,876
