timestep;MW Solar
410400;75,35
411300;75,35
412200;75,35
413100;75,35
414000;75,35
414900;75,35
415800;75,35
416700;75,35
417600;75,35
418500;75,35
419400;75,35
420300;75,35
421200;75,35
422100;75,35
423000;75,35
423900;75,35
424800;75,35
425700;75,35
426600;75,35
427500;75,35
428400;75,35
429300;75,35
430200;75,35
431100;75,35
432000;75,35
432900;75,35
433800;75,35
434700;75,35
435600;75,35
436500;75,35
437400;75,35
438300;75,35
439200;75,35
440100;75,35
441000;75,35
441900;75,35
442800;75,35
443700;75,35
444600;75,35
445500;75,35
446400;75,35
447300;75,35
448200;75,35
449100;75,35
450000;75,35
450900;75,35
451800;75,35
452700;75,35
453600;75,35
454500;75,35
455400;75,35
456300;75,35
457200;75,35
458100;75,35
459000;75,35
459900;75,35
460800;75,35
461700;75,35
462600;75,35
463500;75,35
464400;75,35
465300;75,35
466200;75,35
467100;75,35
468000;75,35
468900;75,35
469800;75,35
470700;75,35
471600;75,35
472500;75,35
473400;75,35
474300;75,35
475200;75,35
476100;75,35
477000;75,35
477900;75,35
478800;75,35
479700;75,35
480600;75,35
481500;75,35
482400;75,35
483300;75,35
484200;75,35
485100;75,35
486000;75,35
486900;75,35
487800;75,35
488700;75,35
489600;75,35
490500;75,35
491400;75,35
492300;75,35
493200;75,35
494100;75,35
495000;75,35
495900;75,35
496800;75,35
497700;75,35
498600;75,35
499500;75,35
500400;75,35
501300;75,35
502200;75,35
503100;75,35
504000;75,35
504900;75,35
505800;75,35
506700;75,35
507600;75,35
508500;75,35
509400;75,35
510300;75,35
511200;75,35
512100;75,35
513000;75,35
513900;75,35
514800;75,35
515700;75,35
516600;75,35
517500;75,35
518400;75,35
519300;75,35
520200;75,35
521100;75,35
522000;75,35
522900;75,35
523800;75,35
524700;75,35
525600;75,35
526500;75,35
527400;75,35
528300;75,35
529200;75,35
530100;75,35
531000;75,35
531900;75,35
532800;75,35
533700;75,35
534600;75,35
535500;75,35
536400;75,35
537300;75,35
538200;75,35
539100;75,35
540000;75,35
540900;75,35
541800;75,35
542700;75,35
543600;75,35
544500;75,35
545400;75,35
546300;75,35
547200;75,35
548100;75,35
549000;75,35
549900;75,35
550800;75,35
551700;75,35
552600;75,35
553500;75,35
554400;75,35
555300;75,35
556200;75,35
557100;75,35
558000;75,35
558900;75,35
559800;75,35
560700;75,35
561600;75,35
562500;75,35
563400;75,35
564300;75,35
565200;75,35
566100;75,35
567000;75,35
567900;75,35
568800;75,35
569700;75,35
570600;75,35
571500;75,35
572400;75,35
573300;75,35
574200;75,35
575100;75,35
576000;75,35
576900;75,35
577800;75,35
578700;75,35
579600;75,35
580500;75,35
581400;75,35
582300;75,35
583200;75,35
584100;75,35
585000;75,35
585900;75,35
586800;75,35
587700;75,35
588600;75,35
589500;75,35
590400;75,35
591300;75,35
592200;75,35
593100;75,35
594000;75,35
594900;75,35
595800;75,35
596700;75,35
597600;75,35
598500;75,35
599400;75,35
600300;75,35
601200;75,35
602100;75,35
603000;75,35
603900;75,35
604800;75,35
605700;75,35
606600;75,35
607500;75,35
608400;75,35
609300;75,35
610200;75,35
611100;75,35
612000;75,35
612900;75,35
613800;75,35
614700;75,35
615600;75,35
616500;75,35
617400;75,35
618300;75,35
619200;75,35
620100;75,35
621000;75,35
621900;75,35
622800;75,35
623700;75,35
624600;75,35
625500;75,35
626400;75,35
627300;75,35
628200;75,35
629100;75,35
630000;75,35
630900;75,35
631800;75,35
632700;75,35
633600;75,35
634500;75,35
635400;75,35
636300;75,35
637200;75,35
638100;75,35
639000;75,35
639900;75,35
640800;75,35
641700;75,35
642600;75,35
643500;75,35
644400;75,35
645300;75,35
646200;75,35
647100;75,35
648000;75,35
648900;75,35
649800;75,35
650700;75,35
651600;75,35
652500;75,35
653400;75,35
654300;75,35
655200;75,35
656100;75,35
657000;75,35
657900;75,35
658800;75,35
659700;75,35
660600;75,35
661500;75,35
662400;75,35
663300;75,35
664200;75,35
665100;75,35
666000;75,35
666900;75,35
667800;75,35
668700;75,35
669600;75,35
670500;75,35
671400;75,35
672300;75,35
673200;75,35
674100;75,35
675000;75,35
675900;75,35
676800;75,35
677700;75,35
678600;75,35
679500;75,35
680400;75,35
681300;75,35
682200;75,35
683100;75,35
684000;75,35
684900;75,35
685800;75,35
686700;75,35
687600;75,35
688500;75,35
689400;75,35
690300;75,35
691200;75,35
692100;75,35
693000;75,35
693900;75,35
694800;75,35
695700;75,35
696600;75,35
697500;75,35
698400;75,35
699300;75,35
700200;75,35
701100;75,35
702000;75,35
702900;75,35
703800;75,35
704700;75,35
705600;75,35
706500;75,35
707400;75,35
708300;75,35
709200;75,35
710100;75,35
711000;75,35
711900;75,35
712800;75,35
713700;75,35
714600;75,35
715500;75,35
716400;75,35
717300;75,35
718200;75,35
719100;75,35
720000;75,35
720900;75,35
721800;75,35
722700;75,35
723600;75,35
724500;75,35
725400;75,35
726300;75,35
727200;75,35
728100;75,35
729000;75,35
729900;75,35
730800;75,35
731700;75,35
732600;75,35
733500;75,35
734400;75,35
735300;75,35
736200;75,35
737100;75,35
738000;75,35
738900;75,35
739800;75,35
740700;75,35
741600;75,35
742500;75,35
743400;75,35
744300;75,35
745200;75,35
746100;75,35
747000;75,35
747900;75,35
748800;75,35
749700;75,35
750600;75,35
751500;75,35
752400;75,35
753300;75,35
754200;75,35
755100;75,35
756000;75,35
756900;75,35
757800;75,35
758700;75,35
759600;75,35
760500;75,35
761400;75,35
762300;75,35
763200;75,35
764100;75,35
765000;75,35
765900;75,35
766800;75,35
767700;75,35
768600;75,35
769500;75,35
770400;75,35
771300;75,35
772200;75,35
773100;75,35
774000;75,35
774900;75,35
775800;75,35
776700;75,35
777600;75,35
778500;75,35
779400;75,35
780300;75,35
781200;75,35
782100;75,35
783000;75,35
783900;75,35
784800;75,35
785700;75,35
786600;75,35
787500;75,35
788400;75,35
789300;75,35
790200;75,35
791100;75,35
792000;75,35
792900;75,35
793800;75,35
794700;75,35
795600;75,35
796500;75,35
797400;75,35
798300;75,35
799200;75,35
800100;75,35
801000;75,35
801900;75,35
802800;75,35
803700;75,35
804600;75,35
805500;75,35
806400;75,35
807300;75,35
808200;75,35
809100;75,35
810000;75,35
810900;75,35
811800;75,35
812700;75,35
813600;75,35
814500;75,35
815400;75,35
816300;75,35
817200;75,35
818100;75,35
819000;75,35
819900;75,35
820800;75,35
821700;75,35
822600;75,35
823500;75,35
824400;75,35
825300;75,35
826200;75,35
827100;75,35
828000;75,35
828900;75,35
829800;75,35
830700;75,35
831600;75,35
832500;75,35
833400;75,35
834300;75,35
835200;75,35
836100;75,35
837000;75,35
837900;75,35
838800;75,35
839700;75,35
840600;75,35
841500;75,35
842400;75,35
843300;75,35
844200;75,35
845100;75,35
846000;75,35
846900;75,35
847800;75,35
848700;75,35
849600;75,35
850500;75,35
851400;75,35
852300;75,35
853200;75,35
854100;75,35
855000;75,35
855900;75,35
856800;75,35
857700;75,35
858600;75,35
859500;75,35
860400;75,35
861300;75,35
862200;75,35
863100;75,35
864000;75,35
864900;75,35
865800;75,35
866700;75,35
867600;75,35
868500;75,35
869400;75,35
870300;75,35
871200;75,35
872100;75,35
873000;75,35
873900;75,35
874800;75,35
875700;75,35
876600;75,35
877500;75,35
878400;75,35
879300;75,35
880200;75,35
881100;75,35
882000;75,35
882900;75,35
883800;75,35
884700;75,35
885600;75,35
886500;75,35
887400;75,35
888300;75,35
889200;75,35
890100;75,35
891000;75,35
891900;75,35
892800;75,35
893700;75,35
894600;75,35
895500;75,35
896400;75,35
897300;75,35
898200;75,35
899100;75,35
900000;75,35
900900;75,35
901800;75,35
902700;75,35
903600;75,35
904500;75,35
905400;75,35
906300;75,35
907200;75,35
908100;75,35
909000;75,35
909900;75,35
910800;75,35
911700;75,35
912600;75,35
913500;75,35
914400;75,35
915300;75,35
916200;75,35
917100;75,35
918000;75,35
918900;75,35
919800;75,35
920700;75,35
921600;75,35
922500;75,35
923400;75,35
924300;75,35
925200;75,35
926100;75,35
927000;75,35
927900;75,35
928800;75,35
929700;75,35
930600;75,35
931500;75,35
932400;75,35
933300;75,35
934200;75,35
935100;75,35
936000;75,35
936900;75,35
937800;75,35
938700;75,35
939600;75,35
940500;75,35
941400;75,35
942300;75,35
943200;75,35
944100;75,35
945000;75,35
945900;75,35
946800;75,35
947700;75,35
948600;75,35
949500;75,35
950400;75,35
951300;75,35
952200;75,35
953100;75,35
954000;75,35
954900;75,35
955800;75,35
956700;75,35
957600;75,35
958500;75,35
959400;75,35
960300;75,35
961200;75,35
962100;75,35
963000;75,35
963900;75,35
964800;75,35
965700;75,35
966600;75,35
967500;75,35
968400;75,35
969300;75,35
970200;75,35
971100;75,35
972000;75,35
972900;75,35
973800;75,35
974700;75,35
975600;75,35
976500;75,35
977400;75,35
978300;75,35
979200;75,35
980100;75,35
981000;75,35
981900;75,35
982800;75,35
983700;75,35
984600;75,35
985500;75,35
986400;75,35
987300;75,35
988200;75,35
989100;75,35
990000;75,35
990900;75,35
991800;75,35
992700;75,35
993600;75,35
994500;75,35
995400;75,35
996300;75,35
997200;75,35
998100;75,35
999000;75,35
999900;75,35
1000800;75,35
1001700;75,35
1002600;75,35
1003500;75,35
1004400;75,35
1005300;75,35
1006200;75,35
1007100;75,35
1008000;75,35
1008900;75,35
1009800;75,35
1010700;75,35
1011600;75,35
1012500;75,35
1013400;75,35
1014300;75,35
1015200;75,35
1016100;75,35
1017000;75,35
1017900;75,35
1018800;75,35
1019700;75,35
1020600;75,35
1021500;75,35
1022400;75,35
1023300;75,35
1024200;75,35
1025100;75,35
1026000;75,35
1026900;75,35
1027800;75,35
1028700;75,35
1029600;75,35
1030500;75,35
1031400;75,35
1032300;75,35
1033200;75,35
1034100;75,35
1035000;75,35
1035900;75,35
1036800;75,35
1037700;75,35
1038600;75,35
1039500;75,35
1040400;75,35
1041300;75,35
1042200;75,35
1043100;75,35
1044000;75,35
1044900;75,35
1045800;75,35
1046700;75,35
1047600;75,35
1048500;75,35
1049400;75,35
1050300;75,35
1051200;75,35
1052100;75,35
1053000;75,35
1053900;75,35
1054800;75,35
1055700;75,35
1056600;75,35
1057500;75,35
1058400;75,35
1059300;75,35
1060200;75,35
1061100;75,35
1062000;75,35
1062900;75,35
1063800;75,35
1064700;75,35
1065600;75,35
1066500;75,35
1067400;75,35
1068300;75,35
1069200;75,35
1070100;75,35
1071000;75,35
1071900;75,35
1072800;75,35
1073700;75,35
1074600;75,35
1075500;75,35
1076400;75,35
1077300;75,35
1078200;75,35
1079100;75,35
1080000;75,35
1080900;75,35
1081800;75,35
1082700;75,35
1083600;75,35
1084500;75,35
1085400;75,35
1086300;75,35
1087200;75,35
