DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
01.01.2024;01.01.2024;aFRR;POS_00_04;2,20;4,63;5,25;4,01;4,72;5,25;21,00;2,20;3,78;5,01;-21,00;3637,00
01.01.2024;01.01.2024;aFRR;POS_04_08;2,28;4,63;5,01;3,65;4,67;5,01;44,00;2,28;4,06;5,00;-44,00;3655,00
01.01.2024;01.01.2024;aFRR;POS_08_12;3,24;6,24;6,66;5,15;6,33;6,66;-19,00;3,24;5,57;6,63;19,00;3732,00
01.01.2024;01.01.2024;aFRR;POS_12_16;2,04;4,06;4,41;3,10;4,12;4,41;8,00;2,04;3,56;4,40;-8,00;3878,00
01.01.2024;01.01.2024;aFRR;POS_16_20;5,73;11,13;11,92;10,03;11,36;11,92;-48,00;5,73;9,40;11,82;48,00;4184,00
01.01.2024;01.01.2024;aFRR;POS_20_24;4,35;7,97;8,51;6,55;8,14;8,51;-34,00;4,35;6,66;8,50;34,00;4107,00
01.01.2024;01.01.2024;aFRR;NEG_00_04;1,48;21,30;25,21;8,00;21,33;25,21;-7,00;1,48;21,06;25,00;7,00;3378,00
01.01.2024;01.01.2024;aFRR;NEG_04_08;1,42;19,54;23,40;7,00;19,77;23,40;-17,00;1,42;17,62;23,10;17,00;3414,00
01.01.2024;01.01.2024;aFRR;NEG_08_12;0,92;12,57;23,08;2,00;13,07;23,08;-44,00;0,92;8,50;18,33;44,00;3226,00
01.01.2024;01.01.2024;aFRR;NEG_12_16;1,50;14,37;20,63;2,00;15,02;20,63;-55,00;1,50;9,52;17,29;55,00;3284,00
01.01.2024;01.01.2024;aFRR;NEG_16_20;0,72;5,62;6,73;1,00;5,83;6,73;-60,00;0,72;4,16;6,50;60,00;3089,00
01.01.2024;01.01.2024;aFRR;NEG_20_24;1,09;8,06;9,81;3,00;8,24;9,81;-59,00;1,09;6,72;9,50;59,00;3199,00
02.01.2024;02.01.2024;aFRR;POS_00_04;2,40;4,64;5,19;4,20;4,71;5,19;-68,00;2,40;4,23;5,13;68,00;3671,00
02.01.2024;02.01.2024;aFRR;POS_04_08;2,28;4,68;5,64;4,31;4,74;5,64;-80,00;2,28;4,33;5,42;80,00;3745,00
02.01.2024;02.01.2024;aFRR;POS_08_12;2,86;7,10;9,03;5,86;7,32;9,03;-80,00;2,86;5,69;7,50;80,00;4152,00
02.01.2024;02.01.2024;aFRR;POS_12_16;1,99;4,51;5,70;3,78;4,61;5,70;-80,00;1,99;3,84;4,93;80,00;4111,00
02.01.2024;02.01.2024;aFRR;POS_16_20;5,50;11,13;12,31;8,02;11,32;12,31;-77,00;5,50;9,92;12,25;77,00;4206,00
02.01.2024;02.01.2024;aFRR;POS_20_24;3,80;7,72;8,43;5,60;7,84;8,43;-34,00;3,80;6,83;8,35;34,00;4227,00
02.01.2024;02.01.2024;aFRR;NEG_00_04;2,37;17,96;20,63;8,00;18,10;20,63;63,00;2,37;15,88;19,99;-63,00;3270,00
02.01.2024;02.01.2024;aFRR;NEG_04_08;2,14;16,76;19,32;7,00;16,93;19,32;-52,00;2,14;15,46;19,00;52,00;3393,00
02.01.2024;02.01.2024;aFRR;NEG_08_12;1,17;9,10;11,37;2,00;9,42;11,37;-80,00;1,17;6,97;10,00;80,00;3183,00
02.01.2024;02.01.2024;aFRR;NEG_12_16;1,66;10,55;12,33;2,00;10,88;12,33;-80,00;1,66;8,45;11,10;80,00;3062,00
02.01.2024;02.01.2024;aFRR;NEG_16_20;0,52;4,98;5,65;1,00;5,19;5,65;-80,00;0,52;3,59;4,70;80,00;2950,00
02.01.2024;02.01.2024;aFRR;NEG_20_24;0,65;7,60;8,69;3,00;7,79;8,69;-73,00;0,65;6,32;8,60;73,00;3363,00
03.01.2024;03.01.2024;aFRR;POS_00_04;2,34;4,50;4,88;3,51;4,54;4,88;42,00;2,34;4,01;4,80;-42,00;3860,00
03.01.2024;03.01.2024;aFRR;POS_04_08;2,28;4,66;4,97;4,01;4,70;4,97;38,00;2,28;4,16;4,96;-38,00;3781,00
03.01.2024;03.01.2024;aFRR;POS_08_12;3,66;6,94;7,88;5,80;7,02;7,88;21,00;3,66;6,07;7,50;-21,00;3948,00
03.01.2024;03.01.2024;aFRR;POS_12_16;2,41;4,51;4,97;3,88;4,55;4,97;16,00;2,41;4,06;4,92;-16,00;3997,00
03.01.2024;03.01.2024;aFRR;POS_16_20;5,72;11,91;15,48;7,62;12,20;15,48;-80,00;5,72;10,06;11,99;80,00;3840,00
03.01.2024;03.01.2024;aFRR;POS_20_24;3,78;7,49;8,12;5,32;7,60;8,12;-66,00;3,78;6,73;8,09;66,00;4203,00
03.01.2024;03.01.2024;aFRR;NEG_00_04;1,50;23,44;31,99;8,70;24,16;31,99;-12,00;1,50;16,88;25,50;12,00;3050,00
03.01.2024;03.01.2024;aFRR;NEG_04_08;1,45;19,95;26,96;6,40;20,63;26,96;-47,00;1,45;14,95;22,31;47,00;3067,00
03.01.2024;03.01.2024;aFRR;NEG_08_12;0,71;8,48;10,00;4,20;8,75;10,00;-48,00;0,71;6,61;10,00;48,00;3172,00
03.01.2024;03.01.2024;aFRR;NEG_12_16;0,74;9,99;12,84;4,20;10,29;12,84;-69,00;0,74;7,93;12,23;69,00;3099,00
03.01.2024;03.01.2024;aFRR;NEG_16_20;0,47;4,52;5,13;2,00;4,66;5,13;-41,00;0,47;3,53;5,08;41,00;3127,00
03.01.2024;03.01.2024;aFRR;NEG_20_24;0,74;6,70;7,50;2,00;6,83;7,50;-6,00;0,74;5,58;7,44;6,00;3077,00
04.01.2024;04.01.2024;aFRR;POS_00_04;2,28;4,24;4,64;3,20;4,29;4,64;33,00;2,28;3,74;4,60;-33,00;3913,00
04.01.2024;04.01.2024;aFRR;POS_04_08;2,37;4,60;5,41;3,20;4,68;5,41;-80,00;2,37;4,07;5,01;80,00;3631,00
04.01.2024;04.01.2024;aFRR;POS_08_12;3,26;7,00;8,44;5,40;7,18;8,44;-80,00;3,26;5,71;6,95;80,00;4110,00
04.01.2024;04.01.2024;aFRR;POS_12_16;2,24;4,41;5,15;3,55;4,48;5,15;-71,00;2,24;3,96;5,14;71,00;4193,00
04.01.2024;04.01.2024;aFRR;POS_16_20;4,35;14,94;18,68;4,35;15,48;18,68;-80,00;5,71;11,47;15,30;80,00;3844,00
04.01.2024;04.01.2024;aFRR;POS_20_24;3,75;7,70;8,54;6,10;7,82;8,54;-71,00;3,75;7,00;8,49;71,00;4226,00
04.01.2024;04.01.2024;aFRR;NEG_00_04;2,79;20,45;25,89;9,00;20,93;25,89;-45,00;2,79;17,24;24,40;45,00;2953,00
04.01.2024;04.01.2024;aFRR;NEG_04_08;2,30;17,80;21,33;5,00;18,13;21,33;-57,00;2,30;15,59;21,20;57,00;3005,00
04.01.2024;04.01.2024;aFRR;NEG_08_12;0,76;7,13;7,91;3,30;7,23;7,91;-25,00;0,76;6,42;7,90;25,00;3094,00
04.01.2024;04.01.2024;aFRR;NEG_12_16;0,87;8,25;9,33;4,40;8,36;9,33;-21,00;0,87;7,41;9,20;21,00;3166,00
04.01.2024;04.01.2024;aFRR;NEG_16_20;0,40;3,74;4,32;2,00;3,81;4,32;-80,00;0,40;3,26;4,00;80,00;3482,00
04.01.2024;04.01.2024;aFRR;NEG_20_24;0,63;5,26;5,90;3,00;5,32;5,90;-17,00;0,63;4,78;5,90;17,00;3296,00
05.01.2024;05.01.2024;aFRR;POS_00_04;2,03;4,12;4,90;3,25;4,15;4,90;-41,00;2,03;3,90;4,86;41,00;3696,00
05.01.2024;05.01.2024;aFRR;POS_04_08;2,28;4,55;6,03;3,65;4,59;6,03;-80,00;2,28;4,27;5,14;80,00;3645,00
05.01.2024;05.01.2024;aFRR;POS_08_12;3,53;6,78;7,83;5,00;6,83;7,83;-44,00;3,53;6,31;7,78;44,00;4180,00
05.01.2024;05.01.2024;aFRR;POS_12_16;2,09;4,34;5,00;3,55;4,39;5,00;-80,00;2,09;4,01;4,98;80,00;4180,00
05.01.2024;05.01.2024;aFRR;POS_16_20;7,48;13,51;15,09;11,00;13,62;15,09;23,00;7,48;12,29;15,02;-23,00;4387,00
05.01.2024;05.01.2024;aFRR;POS_20_24;4,03;7,25;7,68;5,70;7,30;7,68;50,00;4,03;6,64;7,67;-50,00;4393,00
05.01.2024;05.01.2024;aFRR;NEG_00_04;1,73;16,29;17,65;9,00;16,43;17,65;51,00;1,73;14,51;17,64;-51,00;3458,00
05.01.2024;05.01.2024;aFRR;NEG_04_08;1,53;14,25;15,19;8,00;14,39;15,19;72,00;1,53;12,18;15,00;-72,00;3553,00
05.01.2024;05.01.2024;aFRR;NEG_08_12;0,58;5,44;6,29;3,00;5,51;6,29;-80,00;0,58;5,01;6,00;80,00;3547,00
05.01.2024;05.01.2024;aFRR;NEG_12_16;0,68;6,26;7,29;4,00;6,30;7,29;-45,00;0,68;6,04;7,29;45,00;3506,00
05.01.2024;05.01.2024;aFRR;NEG_16_20;0,31;2,99;3,55;2,00;3,05;3,55;-80,00;0,31;2,61;3,08;80,00;3291,00
05.01.2024;05.01.2024;aFRR;NEG_20_24;0,40;4,15;4,89;2,00;4,16;4,89;-65,00;0,40;4,04;4,86;65,00;3393,00
06.01.2024;06.01.2024;aFRR;POS_00_04;1,95;3,98;4,22;2,76;4,01;4,22;40,00;1,95;3,60;4,21;-40,00;4082,00
06.01.2024;06.01.2024;aFRR;POS_04_08;2,10;4,33;4,70;3,05;4,37;4,70;-36,00;2,10;4,05;4,70;36,00;4064,00
06.01.2024;06.01.2024;aFRR;POS_08_12;3,31;6,24;6,67;4,00;6,31;6,67;-7,00;3,31;5,61;6,65;7,00;4359,00
06.01.2024;06.01.2024;aFRR;POS_12_16;2,13;4,10;4,30;2,92;4,14;4,30;-32,00;2,13;3,77;4,29;32,00;4172,00
06.01.2024;06.01.2024;aFRR;POS_16_20;5,26;11,62;12,78;9,06;11,86;12,78;-54,00;5,26;10,00;12,61;54,00;4526,00
06.01.2024;06.01.2024;aFRR;POS_20_24;3,37;6,61;7,01;4,86;6,70;7,01;-46,00;3,37;5,99;6,98;46,00;4510,00
06.01.2024;06.01.2024;aFRR;NEG_00_04;1,17;14,04;15,64;8,60;14,13;15,64;28,00;1,17;13,11;15,60;-28,00;3557,00
06.01.2024;06.01.2024;aFRR;NEG_04_08;1,05;12,11;14,07;8,00;12,15;14,07;-4,00;1,05;11,75;14,06;4,00;3544,00
06.01.2024;06.01.2024;aFRR;NEG_08_12;0,41;4,91;5,71;2,73;4,95;5,71;-49,00;0,41;4,57;5,68;49,00;3519,00
06.01.2024;06.01.2024;aFRR;NEG_12_16;0,47;5,37;6,20;3,12;5,42;6,20;-5,00;0,47;4,84;6,17;5,00;3554,00
06.01.2024;06.01.2024;aFRR;NEG_16_20;0,23;2,79;3,18;1,80;2,86;3,18;-80,00;0,23;2,27;2,86;80,00;3676,00
06.01.2024;06.01.2024;aFRR;NEG_20_24;0,31;4,02;4,85;2,00;4,05;4,85;-80,00;0,31;3,80;4,75;80,00;3191,00
07.01.2024;07.01.2024;aFRR;POS_00_04;1,96;3,71;4,04;2,86;3,73;3,95;80,00;1,96;3,38;4,04;-80,00;3858,00
07.01.2024;07.01.2024;aFRR;POS_04_08;2,15;4,06;4,44;3,12;4,08;4,32;80,00;2,15;3,71;4,44;-80,00;3831,00
07.01.2024;07.01.2024;aFRR;POS_08_12;3,01;5,64;5,98;3,90;5,69;5,98;2,00;3,01;5,18;5,92;-2,00;4182,00
07.01.2024;07.01.2024;aFRR;POS_12_16;1,93;3,70;4,00;2,90;3,73;4,00;-20,00;1,93;3,42;3,99;20,00;3913,00
07.01.2024;07.01.2024;aFRR;POS_16_20;5,07;10,43;11,12;8,45;10,56;11,10;-37,00;5,07;9,30;11,12;37,00;4543,00
07.01.2024;07.01.2024;aFRR;POS_20_24;3,12;6,00;6,34;4,78;6,06;6,34;-30,00;3,12;5,51;6,31;30,00;4294,00
07.01.2024;07.01.2024;aFRR;NEG_00_04;1,20;13,05;14,09;9,10;13,22;14,09;2,00;1,20;11,46;14,05;-2,00;3223,00
07.01.2024;07.01.2024;aFRR;NEG_04_08;0,98;11,90;14,23;7,82;12,05;14,23;-30,00;0,98;10,76;14,23;30,00;3195,00
07.01.2024;07.01.2024;aFRR;NEG_08_12;0,43;4,78;5,91;3,00;4,86;5,91;-52,00;0,43;4,20;5,64;52,00;3200,00
07.01.2024;07.01.2024;aFRR;NEG_12_16;0,46;5,11;5,86;3,10;5,19;5,86;-16,00;0,46;4,53;5,80;16,00;3184,00
07.01.2024;07.01.2024;aFRR;NEG_16_20;0,26;2,56;2,91;1,84;2,62;2,91;-71,00;0,26;2,15;2,90;71,00;3636,00
07.01.2024;07.01.2024;aFRR;NEG_20_24;0,43;3,79;4,30;2,00;3,85;4,30;-13,00;0,43;3,30;4,30;13,00;3229,00
08.01.2024;08.01.2024;aFRR;POS_00_04;1,77;3,55;4,09;2,60;3,56;3,98;80,00;1,77;3,33;4,09;-80,00;3775,00
08.01.2024;08.01.2024;aFRR;POS_04_08;1,92;3,98;4,79;3,12;4,01;4,79;5,00;1,92;3,67;4,77;-5,00;3635,00
08.01.2024;08.01.2024;aFRR;POS_08_12;2,54;5,41;6,65;4,50;5,47;6,65;-48,00;2,54;4,94;6,56;48,00;4175,00
08.01.2024;08.01.2024;aFRR;POS_12_16;1,68;3,60;4,58;2,95;3,63;4,58;-16,00;1,68;3,29;4,51;16,00;4177,00
08.01.2024;08.01.2024;aFRR;POS_16_20;4,80;10,53;13,29;8,45;10,67;13,29;-80,00;4,80;9,60;12,96;80,00;4136,00
08.01.2024;08.01.2024;aFRR;POS_20_24;2,73;5,73;6,78;4,78;5,78;6,78;-60,00;2,73;5,36;6,74;60,00;4352,00
08.01.2024;08.01.2024;aFRR;NEG_00_04;1,23;10,71;12,18;1,99;10,77;12,18;45,00;1,23;10,00;12,14;-45,00;3258,00
08.01.2024;08.01.2024;aFRR;NEG_04_08;1,17;10,26;11,53;7,32;10,38;11,53;51,00;1,17;8,86;11,50;-51,00;3169,00
08.01.2024;08.01.2024;aFRR;NEG_08_12;0,47;4,19;4,57;2,99;4,24;4,57;7,00;0,47;3,69;4,54;-7,00;3321,00
08.01.2024;08.01.2024;aFRR;NEG_12_16;0,48;4,41;4,99;3,27;4,44;4,99;15,00;0,48;4,09;4,99;-15,00;3045,00
08.01.2024;08.01.2024;aFRR;NEG_16_20;0,24;2,17;2,53;1,50;2,21;2,53;-80,00;0,24;1,92;2,30;80,00;3373,00
08.01.2024;08.01.2024;aFRR;NEG_20_24;0,37;3,34;3,70;2,00;3,39;3,70;30,00;0,37;2,88;3,69;-30,00;3365,00
09.01.2024;09.01.2024;aFRR;POS_00_04;1,76;3,44;3,69;2,61;3,47;3,69;63,00;1,76;3,06;3,67;-63,00;3485,00
09.01.2024;09.01.2024;aFRR;POS_04_08;1,91;4,05;4,46;2,62;4,10;4,46;13,00;1,91;3,58;4,41;-13,00;3689,00
09.01.2024;09.01.2024;aFRR;POS_08_12;2,45;6,01;7,92;4,00;6,10;7,92;-80,00;2,45;5,32;7,20;80,00;4074,00
09.01.2024;09.01.2024;aFRR;POS_12_16;1,68;3,89;4,47;2,45;3,94;4,47;-49,00;1,68;3,50;4,44;49,00;3783,00
09.01.2024;09.01.2024;aFRR;POS_16_20;4,79;13,07;18,87;7,70;13,23;18,87;-80,00;4,79;12,05;15,78;80,00;4246,00
09.01.2024;09.01.2024;aFRR;POS_20_24;2,75;5,93;6,43;4,28;6,00;6,43;9,00;2,75;5,25;6,34;-9,00;4185,00
09.01.2024;09.01.2024;aFRR;NEG_00_04;0,88;8,99;9,70;6,80;9,06;9,70;34,00;0,88;8,13;9,68;-34,00;3601,00
09.01.2024;09.01.2024;aFRR;NEG_04_08;0,91;8,31;9,00;5,82;8,36;9,00;47,00;0,91;7,68;9,00;-47,00;3567,00
09.01.2024;09.01.2024;aFRR;NEG_08_12;0,37;3,51;3,89;2,00;3,56;3,89;-76,00;0,37;3,25;3,89;76,00;3207,00
09.01.2024;09.01.2024;aFRR;NEG_12_16;0,39;3,62;3,98;2,00;3,65;3,98;22,00;0,39;3,38;3,98;-22,00;3042,00
09.01.2024;09.01.2024;aFRR;NEG_16_20;0,18;1,88;2,14;1,23;1,92;2,14;-80,00;0,18;1,60;1,95;80,00;3462,00
09.01.2024;09.01.2024;aFRR;NEG_20_24;0,30;2,80;3,12;1,94;2,83;3,12;-18,00;0,30;2,55;3,09;18,00;3653,00
10.01.2024;10.01.2024;aFRR;POS_00_04;1,68;3,21;3,54;2,31;3,29;3,54;-80,00;1,68;2,73;3,41;80,00;3551,00
10.01.2024;10.01.2024;aFRR;POS_04_08;2,13;4,12;5,30;2,73;4,11;5,30;-50,00;2,13;4,20;5,30;50,00;3331,00
10.01.2024;10.01.2024;aFRR;POS_08_12;3,24;14,76;75,89;4,06;15,25;75,89;-80,00;3,24;11,36;17,10;80,00;3267,00
10.01.2024;10.01.2024;aFRR;POS_12_16;2,16;4,58;14,28;2,62;4,68;14,28;-80,00;2,16;3,92;5,77;80,00;3585,00
10.01.2024;10.01.2024;aFRR;POS_16_20;7,16;15,85;28,21;8,80;15,45;18,98;80,00;7,16;22,62;28,21;-80,00;3846,00
10.01.2024;10.01.2024;aFRR;POS_20_24;3,10;5,81;6,24;3,99;5,87;6,24;-7,00;3,10;5,32;6,23;7,00;4098,00
10.01.2024;10.01.2024;aFRR;NEG_00_04;0,70;7,23;7,85;4,31;7,33;7,85;-53,00;0,70;6,50;7,85;53,00;3716,00
10.01.2024;10.01.2024;aFRR;NEG_04_08;0,64;6,69;7,52;3,98;6,78;7,51;-45,00;0,64;6,03;7,52;45,00;3678,00
10.01.2024;10.01.2024;aFRR;NEG_08_12;0,29;2,94;3,97;1,69;3,04;3,97;-80,00;0,29;2,37;2,90;80,00;3389,00
10.01.2024;10.01.2024;aFRR;NEG_12_16;0,29;3,12;7,52;1,74;3,22;7,52;-80,00;0,29;2,40;3,03;80,00;3272,00
10.01.2024;10.01.2024;aFRR;NEG_16_20;0,17;1,57;1,90;0,91;1,63;1,90;-80,00;0,17;1,24;1,54;80,00;3781,00
10.01.2024;10.01.2024;aFRR;NEG_20_24;0,23;2,29;2,65;1,35;2,32;2,65;-80,00;0,23;2,10;2,63;80,00;3692,00
11.01.2024;11.01.2024;aFRR;POS_00_04;1,52;3,11;3,47;2,17;3,16;3,47;-68,00;1,52;2,80;3,46;68,00;3739,00
11.01.2024;11.01.2024;aFRR;POS_04_08;2,02;4,63;5,82;3,24;4,61;5,78;23,00;2,02;4,82;5,82;-23,00;3575,00
11.01.2024;11.01.2024;aFRR;POS_08_12;4,19;17,60;22,83;5,97;17,57;22,83;-80,00;4,19;17,79;21,84;80,00;4181,00
11.01.2024;11.01.2024;aFRR;POS_12_16;2,05;6,86;8,20;3,60;7,02;8,20;-55,00;2,05;5,60;8,16;55,00;4232,00
11.01.2024;11.01.2024;aFRR;POS_16_20;9,07;16,63;29,25;10,49;16,14;17,43;80,00;9,07;24,68;29,25;-80,00;4257,00
11.01.2024;11.01.2024;aFRR;POS_20_24;2,86;5,62;6,00;4,08;5,66;6,00;38,00;2,86;5,18;5,99;-38,00;4182,00
11.01.2024;11.01.2024;aFRR;NEG_00_04;0,55;5,98;6,80;4,10;6,09;6,80;-40,00;0,55;5,21;6,70;40,00;3586,00
11.01.2024;11.01.2024;aFRR;NEG_04_08;0,51;5,47;5,94;4,07;5,57;5,94;-25,00;0,51;4,65;5,90;25,00;3659,00
11.01.2024;11.01.2024;aFRR;NEG_08_12;0,23;2,83;3,30;2,00;2,98;3,30;-80,00;0,23;1,96;2,38;80,00;3136,00
11.01.2024;11.01.2024;aFRR;NEG_12_16;0,23;3,64;4,67;2,00;3,90;4,67;-80,00;0,23;2,10;2,60;80,00;3057,00
11.01.2024;11.01.2024;aFRR;NEG_16_20;0,13;1,42;1,70;0,98;1,48;1,70;-80,00;0,13;1,07;1,30;80,00;3552,00
11.01.2024;11.01.2024;aFRR;NEG_20_24;0,19;1,93;2,46;1,30;1,97;2,46;-80,00;0,19;1,71;2,20;80,00;3646,00
12.01.2024;12.01.2024;aFRR;POS_00_04;1,49;3,00;3,21;2,21;3,04;3,21;-63,00;1,49;2,71;3,20;63,00;3953,00
12.01.2024;12.01.2024;aFRR;POS_04_08;2,56;4,51;4,87;3,68;4,54;4,87;40,00;2,56;4,24;4,87;-40,00;3862,00
12.01.2024;12.01.2024;aFRR;POS_08_12;4,75;12,29;20,93;4,75;12,08;16,38;80,00;8,92;16,01;20,93;-80,00;4022,00
12.01.2024;12.01.2024;aFRR;POS_12_16;3,30;5,24;6,40;3,30;5,24;5,94;80,00;3,57;5,29;6,40;-80,00;4502,00
12.01.2024;12.01.2024;aFRR;POS_16_20;8,54;14,60;16,75;8,54;14,63;15,41;80,00;8,76;14,07;16,75;-80,00;4366,00
12.01.2024;12.01.2024;aFRR;POS_20_24;2,77;5,26;5,87;4,05;5,31;5,87;-80,00;2,77;4,93;5,83;80,00;4015,00
12.01.2024;12.01.2024;aFRR;NEG_00_04;0,46;5,13;5,51;3,10;5,21;5,51;-29,00;0,46;4,47;5,50;29,00;3837,00
12.01.2024;12.01.2024;aFRR;NEG_04_08;0,44;4,17;4,82;3,12;4,21;4,82;6,00;0,44;3,81;4,80;-6,00;3818,00
12.01.2024;12.01.2024;aFRR;NEG_08_12;0,30;2,44;2,73;1,98;2,55;2,73;-80,00;0,30;1,77;2,23;80,00;3647,00
12.01.2024;12.01.2024;aFRR;NEG_12_16;0,40;3,02;3,77;2,00;3,18;3,77;-80,00;0,40;2,01;2,56;80,00;3279,00
12.01.2024;12.01.2024;aFRR;NEG_16_20;0,13;1,22;1,47;0,92;1,25;1,47;-80,00;0,13;0,98;1,25;80,00;3679,00
12.01.2024;12.01.2024;aFRR;NEG_20_24;0,15;1,86;2,36;1,00;1,91;2,36;-80,00;0,15;1,56;2,26;80,00;3827,00
13.01.2024;13.01.2024;aFRR;POS_00_04;1,51;2,80;3,68;1,69;2,84;3,68;-80,00;1,51;2,57;3,38;80,00;4037,00
13.01.2024;13.01.2024;aFRR;POS_04_08;2,24;3,99;4,38;2,56;4,03;4,38;-38,00;2,24;3,66;4,35;38,00;4184,00
13.01.2024;13.01.2024;aFRR;POS_08_12;4,68;9,15;9,95;7,45;9,22;9,95;50,00;4,68;8,18;9,85;-50,00;4512,00
13.01.2024;13.01.2024;aFRR;POS_12_16;2,00;4,05;4,30;2,70;4,08;4,30;49,00;2,00;3,57;4,27;-49,00;4352,00
13.01.2024;13.01.2024;aFRR;POS_16_20;6,56;11,28;11,87;7,01;11,37;11,87;15,00;6,56;10,33;11,82;-15,00;4645,00
13.01.2024;13.01.2024;aFRR;POS_20_24;2,45;4,79;5,32;3,08;4,86;5,32;-80,00;2,45;4,36;5,17;80,00;4150,00
13.01.2024;13.01.2024;aFRR;NEG_00_04;0,44;5,17;7,14;2,27;5,30;7,14;-59,00;0,44;4,25;7,11;59,00;3621,00
13.01.2024;13.01.2024;aFRR;NEG_04_08;0,31;5,26;7,36;1,99;5,48;7,36;-16,00;0,31;3,43;5,00;16,00;3565,00
13.01.2024;13.01.2024;aFRR;NEG_08_12;0,21;3,32;5,76;1,13;3,51;5,76;-72,00;0,21;2,02;5,10;72,00;3503,00
13.01.2024;13.01.2024;aFRR;NEG_12_16;0,22;4,49;6,24;1,56;4,84;6,24;-56,00;0,22;2,08;4,00;56,00;3407,00
13.01.2024;13.01.2024;aFRR;NEG_16_20;0,10;2,17;3,50;0,61;2,33;3,50;-79,00;0,10;1,16;3,50;79,00;3625,00
13.01.2024;13.01.2024;aFRR;NEG_20_24;0,19;4,49;7,93;0,97;4,81;7,93;-22,00;0,19;1,92;6,78;22,00;3526,00
14.01.2024;14.01.2024;aFRR;POS_00_04;1,25;2,71;3,13;1,25;2,74;3,13;-5,00;1,26;2,44;3,08;5,00;3732,00
14.01.2024;14.01.2024;aFRR;POS_04_08;1,50;3,55;3,86;1,50;3,59;3,86;-8,00;1,80;3,19;3,80;8,00;3925,00
14.01.2024;14.01.2024;aFRR;POS_08_12;2,85;6,89;8,05;2,85;6,94;8,05;-80,00;3,60;6,61;8,00;80,00;4587,00
14.01.2024;14.01.2024;aFRR;POS_12_16;1,25;3,27;3,81;1,25;3,30;3,81;-56,00;1,58;3,02;3,76;56,00;4161,00
14.01.2024;14.01.2024;aFRR;POS_16_20;3,55;9,45;10,44;3,55;9,70;10,44;-80,00;4,08;7,74;9,64;80,00;4600,00
14.01.2024;14.01.2024;aFRR;POS_20_24;1,80;4,31;4,67;1,80;4,35;4,67;-39,00;2,25;3,98;4,66;39,00;4127,00
14.01.2024;14.01.2024;aFRR;NEG_00_04;0,48;9,03;13,97;2,25;9,44;13,97;-21,00;0,48;5,73;12,00;21,00;3095,00
14.01.2024;14.01.2024;aFRR;NEG_04_08;0,60;6,20;7,86;2,40;6,43;7,86;0,00;0,60;4,21;7,00;0,00;3309,00
14.01.2024;14.01.2024;aFRR;NEG_08_12;0,38;4,14;4,88;1,85;4,29;4,88;46,00;0,38;2,25;4,74;-46,00;3603,00
14.01.2024;14.01.2024;aFRR;NEG_12_16;0,49;4,76;5,36;1,95;4,95;5,36;3,00;0,49;3,09;5,13;-3,00;3528,00
14.01.2024;14.01.2024;aFRR;NEG_16_20;0,23;2,31;2,73;1,00;2,41;2,73;25,00;0,23;1,35;2,70;-25,00;3702,00
14.01.2024;14.01.2024;aFRR;NEG_20_24;0,42;4,45;6,39;2,00;4,59;6,39;-23,00;0,42;3,37;6,30;23,00;3550,00
15.01.2024;15.01.2024;aFRR;POS_00_04;1,35;2,58;3,00;1,81;2,59;3,00;18,00;1,35;2,47;3,00;-18,00;3809,00
15.01.2024;15.01.2024;aFRR;POS_04_08;1,61;3,70;6,61;2,42;3,77;6,61;-80,00;1,61;3,18;4,31;80,00;3523,00
15.01.2024;15.01.2024;aFRR;POS_08_12;2,58;7,02;9,27;4,20;7,15;9,24;-46,00;2,58;5,96;9,27;46,00;4424,00
15.01.2024;15.01.2024;aFRR;POS_12_16;1,24;3,43;4,16;1,82;3,49;4,16;-80,00;1,24;3,05;4,01;80,00;4141,00
15.01.2024;15.01.2024;aFRR;POS_16_20;4,05;10,35;14,10;5,02;10,46;14,10;-80,00;4,05;9,66;13,80;80,00;4201,00
15.01.2024;15.01.2024;aFRR;POS_20_24;1,97;4,29;5,47;2,59;4,37;5,47;-79,00;1,97;3,75;5,00;79,00;3871,00
15.01.2024;15.01.2024;aFRR;NEG_00_04;0,98;10,38;18,57;4,00;11,01;18,57;-39,00;0,98;5,82;13,74;39,00;3270,00
15.01.2024;15.01.2024;aFRR;NEG_04_08;0,74;6,59;11,25;2,10;6,86;11,25;-29,00;0,74;4,50;10,22;29,00;3084,00
15.01.2024;15.01.2024;aFRR;NEG_08_12;0,45;3,41;4,01;1,10;3,53;4,01;-80,00;0,45;2,68;3,88;80,00;2956,00
