timestep;price_power_EUR_MWh;trend_EUR_MWh_per_h;volatility_EUR_MWh
5,4603e6;60,56;7,546373626373627;7,748594909848048
5,4612e6;61,67;7,800439560439559;7,9604905788783045
5,4621e6;61,67;7,731648351648351;7,906495625555172
5,463e6;61,67;7,193626373626373;7,470746796158179
5,4639e6;61,67;6,186373626373625;6,577808457424409
5,4648e6;71,53;3,9160439560439535;4,792195845918759
5,4657e6;71,53;2,8257142857142847;4,41430410928277
5,4666e6;71,53;1,6151648351648342;3,9526471169039636
5,4675e6;71,53;0,28439560439560374;3,3730040631840925
5,4684e6;79,28;-1,9380219780219776;3,4452564937450285
5,4693e6;79,28;-2,9597802197802183;4,088457015700513
5,4702e6;79,28;-3,8028571428571403;4,551238631067705
5,4711e6;79,28;-4,467252747252744;4,88514782076952
5,472e6;83,02;-5,141538461538459;5,25594291230754
5,4729e6;83,02;-5,030329670329667;5,173213800495876
5,4738e6;83,02;-4,626813186813186;4,861226762971011
5,4747e6;83,02;-3,930989010989011;4,2700222181611345
5,4756e6;77,0;-3,432087912087912;3,6445498473396665
5,4765e6;77,0;-3,485494505494505;3,6912226103249792
5,4774e6;77,0;-3,2973626373626366;3,5240661610832875
5,4783e6;77,0;-2,8676923076923075;3,1087774825319077
5,4792e6;71,15;-2,220219780219781;2,3335968715642297
5,4801e6;71,15;-2,227252747252748;2,3382685902179845
5,481e6;71,15;-2,117362637362638;2,264171892541368
5,4819e6;71,15;-1,8905494505494513;2,102997250568206
5,4828e6;69,72;-1,0483516483516486;1,914686156246781
5,4837e6;69,72;-0,39230769230769313;1,9036614518020054
5,4846e6;69,72;0,2661538461538449;1,8925315429407343
5,4855e6;69,72;0,9270329670329653;1,8812945624673525
5,4864e6;66,01;1,7301098901098881;1,9960730678779495
5,4873e6;66,01;1,9415384615384603;2,1351910981551567
5,4882e6;66,01;2,0505494505494504;2,2034902384102435
5,4891e6;66,01;2,057142857142858;2,2075534665534855
5,49e6;65,83;2,7010989010989026;2,9548478202820614
5,4909e6;65,83;3,0916483516483533;3,333444164824124
5,4918e6;65,83;3,2525274725274738;3,477433293061466
5,4927e6;65,83;3,1837362637362645;3,416606878776452
5,4936e6;69,61;3,6487912087912084;4,009840779497743
5,4945e6;69,61;4,338461538461537;4,5925566869747945
5,4954e6;69,61;4,754285714285713;4,910593206632536
5,4963e6;69,61;4,896263736263733;5,014565707094603
5,4972e6;70,67;7,706373626373623;9,06321814130737
5,4981e6;70,67;9,915384615384612;11,20626089886066
5,499e6;70,67;11,38351648351648;12,427786330514499
5,4999e6;70,67;12,11076923076923;12,990407703674748
5,5008e6;76,28;13,23252747252747;14,01581835293837
5,5017e6;76,28;14,287252747252746;14,799636040223316
5,5026e6;76,28;14,535164835164833;14,977919004064207
5,5035e6;76,28;13,976263736263736;14,57290830308955
5,5044e6;82,07;9,990329670329674;13,161097881100096
5,5053e6;82,07;6,525054945054949;12,283237118225966
5,5062e6;82,07;2,8169230769230804;11,268358980018522
5,5071e6;82,07;-1,1340659340659303;10,075142551641509
5,508e6;104,38;-6,687472527472524;9,95546467640144
5,5089e6;104,38;-8,824835164835163;11,22517894323704
5,5098e6;104,38;-10,488131868131866;12,121595318971961
5,5107e6;104,38;-11,677362637362636;12,72385826826003
5,5116e6;112,99;-13,279999999999998;13,724191816848121
5,5125e6;112,99;-12,936043956043955;13,451683194650055
5,5134e6;112,99;-11,78087912087912;12,49304283314394
5,5143e6;112,99;-9,814505494505497;10,664823318285983
5,5152e6;93,12;-7,597362637362641;7,778486768662427
5,5161e6;93,12;-7,532527472527477;7,726555357486784
5,517e6;93,12;-6,999780219780224;7,2858342534833165
5,5179e6;93,12;-5,999120879120882;6,376207779003573
5,5188e6;82,81;-4,6400000000000015;4,808205059836355
5,5197e6;82,81;-4,380879120879122;4,618842817671866
5,5206e6;82,81;-3,8621978021978025;4,214312153018204
5,5215e6;82,81;-3,083956043956044;3,5212199226389918
5,5224e6;76,08;-2,0857142857142845;2,3124107744394347
5,5233e6;76,08;-1,8567032967032953;2,1514020473242015
5,5242e6;76,08;-1,5094505494505477;1,8811528107615008
5,5251e6;76,08;-1,043956043956042;1,4414780519865618
5,526e6;71,83;-0,49186813186813116;0,5176202944541185
5,5269e6;71,83;-0,47010989010989046;0,5005420139132255
5,5278e6;71,83;-0,4182417582417595;0,45726472162307275
5,5287e6;71,83;-0,3362637362637384;0,37891545637110663
5,5296e6;71,0;-0,31912087912088183;0,3502526560597717
5,5305e6;71,0;-0,38373626373626674;0,4125157339656668
5,5314e6;71,0;-0,4206593406593438;0,4441933051135446
5,5323e6;71,0;-0,42989010989011306;0,4517657664014727
5,5332e6;70,7;-0,31648351648351974;0,4103281988472553
5,5341e6;70,7;-0,2373626373626401;0,3966009426266019
5,535e6;70,7;-0,152967032967035;0,38141437188040506
5,5359e6;70,7;-0,06329670329670445;0,3645861721501204
5,5368e6;70,46;0,48659340659340694;1,0782357384599663
5,5377e6;70,46;0,9290109890109896;1,4328146050022292
5,5386e6;70,46;1,2956043956043963;1,6705468934085406
5,5395e6;70,46;1,5863736263736272;1,8373622397339084
5,5404e6;69,74;3,129230769230771;3,9425753004857143
5,5413e6;69,74;4,264175824175827;4,997150213512727
5,5422e6;69,74;5,08615384615385;5,639096354231566
5,5431e6;69,74;5,595164835164839;6,002298918555487
5,544e6;70,46;8,779340659340663;10,225799573777934
5,5449e6;70,46;11,263296703296708;12,529599723485553
5,5458e6;70,46;12,952087912087915;13,879222157322353
5,5467e6;70,46;13,845714285714287;14,542791764571627
5,5476e6;73,91;14,21582417582418;14,823923578338167
5,5485e6;73,91;14,276263736263738;14,865237326367541
5,5494e6;73,91;13,57208791208791;14,376530152674851
5,5503e6;73,91;12,103296703296705;13,29950095458569
5,5512e6;83,98;7,0360439560439545;11,728737772820642
5,5521e6;83,98;3,225714285714282;11,418581067266793
5,553e6;83,98;-0,6556043956043984;11,093734371603295
5,5539e6;83,98;-4,607912087912091;10,752866403775132
5,5548e6;106,64;-10,120000000000001;11,897064171359084
5,5557e6;106,64;-11,968791208791211;13,216295788116064
5,5566e6;106,64;-13,142417582417586;13,989348053943006
5,5575e6;106,64;-13,640879120879118;14,305044206278769
5,5584e6;108,7;-13,978461538461543;14,541381181533847
5,5593e6;108,7;-13,238241758241761;13,986190716890386
5,5602e6;108,7;-11,691868131868132;12,748579910860258
5,5611e6;108,7;-9,339340659340658;10,591980154331088
5,562e6;87,21;-6,532747252747253;6,911369673894659
5,5629e6;87,21;-6,167472527472528;6,630345158668356
5,5638e6;87,21;-5,40967032967033;6,005534199856082
5,5647e6;87,21;-4,259340659340661;4,90733360155218
5,5656e6;75,92;-2,724395604395606;2,8348951954579875
5,5665e6;75,92;-2,5325274725274722;2,7008481573814502
5,5674e6;75,92;-2,194945054945053;2,447239418044498
5,5683e6;75,92;-1,7116483516483485;2,029736625582434
5,5692e6;72,02;-0,9046153846153808;1,2783462875016398
5,5701e6;72,02;-0,581538461538458;1,1722168347589552
5,571e6;72,02;-0,2281318681318649;1,0438390680559897
5,5719e6;72,02;0,15560439560439837;0,8835679417522492
